TIPNR_ID	WIKIDATA_ID
Ara_1Ch.7.38	
Arad_1Ch.8.15	
Arah_1Ch.7.39	Q9158805
Arah_Ezr.2.5	Q9158805
Arah_Neh.6.18	Q9158805
Aram_Gen.10.22	
Aram_Gen.22.21	
Aram_1Ch.7.34	
Aramitess_1Ch.7.14	
Aran_Gen.36.28	
Arba_Jos.14.15	
Archelaus_Mat.2.22	
Archippus_Col.4.17	Q468856
Archite_Jos.16.2	
Ard_Gen.46.21	
Ard_Num.26.40	
Ardon_1Ch.2.18	
Areli_Gen.46.16	
Aretas_2Co.11.32	
Argob_2Ki.15.25	
Aridai_Est.9.9	
Aridatha_Est.9.8	
Arieh_2Ki.15.25	
Ariel_Ezr.8.16	
Arioch_Gen.14.1	Q2712606
Arioch_Dan.2.14	Q2712606
Arisai_Est.9.9	
Aristarchus_Act.19.29	
Aristobulus_Rom.16.10	
Arkite_Gen.10.17	
Armoni_2Sa.21.8	Q40326679
Arnan_1Ch.3.21	
Arodi_Gen.46.16	
Arpachshad_Gen.10.22	
Artaxerxes_Ezr.6.14	
Artaxerxes_Ezr.4.7	
Artemas_Tit.3.12	
Arvadite_Gen.10.18	
Arza_1Ki.16.9	
Asa_1Ki.15.8	Q313415
Asa_1Ch.9.16	Q313415
Asahel_2Sa.2.18	
Asahel_2Ch.17.8	
Asahel_2Ch.31.13	
Asahel_Ezr.10.15	
Asaiah_2Ki.22.12	
Asaiah_1Ch.4.36	
Asaiah_1Ch.6.30	
Asaiah_1Ch.9.5	
Asaiah_1Ch.15.6	
Asaph_2Ki.18.18	Q43280403
Asaph_1Ch.6.39	Q43280403
Asaph_1Ch.9.15	Q43280403
Asaph_Neh.2.8	Q43280403
Asarel_1Ch.4.16	
Asenath_Gen.41.45	Q723681
Asharelah_1Ch.25.2	
Ashbel_Gen.46.21	Q85852737
Asher_Gen.30.13	
Ashhur_1Ch.2.24	
Ashkenaz_Gen.10.3	
Ashpenaz_Dan.1.3	Q110844406
Ashtoreth_1Ki.11.5	
Ashvath_1Ch.7.33	
Asiel_1Ch.4.35	
Asnah_Ezr.2.50	
Aspatha_Est.9.7	
Asriel_Num.26.31	
Asriel_1Ch.7.14	
Asshur_Gen.10.22	
Asshurim_Gen.25.3	
Assir_Exo.6.24	
Assir_1Ch.6.23	
Asyncritus_Rom.16.14	Q752778
Atarah_1Ch.2.26	
Ater_Ezr.2.16	
Ater_Ezr.2.42	
Ater_Neh.10.17	
Athaiah_Neh.11.4	
Athaliah_2Ki.8.26	Q463934
Athaliah_1Ch.8.26	Q463934
Athaliah_Ezr.8.7	Q463934
Athlai_Ezr.10.28	
Attai_1Ch.2.35	
Attai_1Ch.12.11	
Attai_2Ch.11.20	
Augustus_Luk.2.1	
Avvim_Deu.2.23	
Azaliah_2Ki.22.3	
Azaniah_Neh.10.9	
Azarel_1Ch.12.6	
Azarel_1Ch.27.22	
Azarel_Ezr.10.41	
Azarel_Neh.12.36	
Azariah_1Ki.4.2	Q313216
Azariah_1Ki.4.5	Q313216
Azariah_1Ch.2.8	Q313216
Azariah_1Ch.2.38	Q313216
Azariah_1Ch.6.10	Q313216
Azariah_1Ch.6.13	Q313216
Azariah_2Ch.15.1	Q313216
Azariah_2Ch.26.17	Q313216
Azariah_2Ch.28.12	Q313216
Azariah_2Ch.31.10	Q313216
Azariah_2Ch.21.2a	Q313216
Azariah_2Ch.21.2b	
Azariah_2Ch.23.1a	Q313216
Azariah_2Ch.23.1b	Q313216
Azariah_2Ch.29.12a	Q313216
Azariah_2Ch.29.12b	Q313216
Azariah_Neh.3.23	Q313216
Azariah_Neh.7.7	Q313216
Azariah_Neh.8.7	Q313216
Azariah_Dan.1.6	Q313216
Azaz_1Ch.5.8	
Azaziah_1Ch.15.21	
Azaziah_1Ch.27.20	
Azaziah_2Ch.31.13	
Azbuk_Neh.3.16	
Azel_1Ch.8.37	
Azgad_Ezr.2.12	
Azgad_Neh.10.15	
Aziza_Ezr.10.27	
Azmaveth_2Sa.23.31	
Azmaveth_1Ch.8.36	
Azmaveth_1Ch.12.3	
Azmaveth_1Ch.27.25	
Azor_Mat.1.13	Q11907447
Azriel_1Ch.5.24	
Azriel_1Ch.27.19	
Azriel_Jer.36.26	
Azrikam_1Ch.3.23	
Azrikam_1Ch.8.38	
Azrikam_1Ch.9.14	
Azrikam_2Ch.28.7	
Azubah_1Ki.22.42	Q4833002
Azubah_1Ch.2.18	Q4833002
Azzan_Num.34.26	
Azzur_Neh.10.17	
Azzur_Jer.28.1	
Azzur_Ezk.11.1	
Baal_1Ch.8.30	
Baal_1Ch.5.5	
Baal-hanan_Gen.36.38	
Baal-hanan_1Ch.27.28	
Baalis_Jer.40.14	
Baal-zebub_2Ki.1.2	
Baana_1Ki.4.12	
Baana_1Ki.4.16	
Baana_Neh.3.4	
Baanah_2Sa.4.2	
Baanah_2Sa.23.29	
Baanah_Ezr.2.2	
Baanah_Neh.10.27	
Baara_1Ch.8.8	
Baaseiah_1Ch.6.40	
Baasha_1Ki.15.16	Q313224
Bakbakkar_1Ch.9.15	
Bakbuk_Ezr.2.51	
Bakbukiah_Neh.11.17	
Balaam_Num.22.5	Q574641
Baladan_2Ki.20.12	
Balak_Num.22.2	
Bani_Ezr.2.10	
Bani_2Sa.23.36	
Bani_1Ch.6.46	
Bani_1Ch.9.4	
Bani_Ezr.10.34	
Bani_Ezr.10.38	
Bani_Neh.3.17	
Bani_Neh.8.7	
Bani_Neh.10.14	
Bani_Neh.11.22	
Bani_Neh.9.4b	
Barabbas_Mat.27.16	Q313417
Barachel_Job.32.2	
Barak_Jdg.4.6	Q807236
Bariah_1Ch.3.22	
Bar-jesus_Act.13.6	
Barkos_Ezr.2.53	
Barnabas_Act.4.36	
Bartholomew_Mat.10.3	Q43982
Bartimaeus_Mrk.10.46	Q809440
Baruch_Neh.3.20	Q599907
Baruch_Neh.10.6	Q599907
Baruch_Neh.11.5	Q599907
Baruch_Jer.32.12	Q599907
Barzillai_2Sa.17.27	
Barzillai_2Sa.21.8	
Barzillai_Ezr.2.61	
Basemath_1Ki.4.15	
Bathsheba_2Sa.11.3	Q272277
Bath-shua_Gen.38.2	
Bazluth_Ezr.2.52	
Bealiah_1Ch.12.5	
Bebai_Ezr.2.11	
Bebai_Ezr.8.11b	
Bebai_Neh.10.15	
Becher_Gen.46.21	
Becher_Num.26.35	
Becorath_1Sa.9.1	
Bedad_Gen.36.35	
Bedan_1Ch.7.17	
Bedeiah_Ezr.10.35	
Beera_1Ch.7.37	
Beerah_1Ch.5.6	
